
3,AMCR
4,BAS@DE
5,BAYN@DE
6,BMW@DE
7,BVB@DE
8,AFX@DE
9,CWEN
10,CON@DE
11,1COV@DE
12,DHER@DE
13,DBK@DE
14,DB1@DE
15,LHA@DE
16,DPW@DE
17,DTE@DE
18,DWNI@DE
19,DUOL
20,EOAN@DE
21,ESTC
22,EVK@DE
23,EVT@DE
24,FSR
25,FVRR
26,FME@DE
27,FRE@DE
28,OGZD@GS
29,GPRO
30,HEI@DE
31,HEN3@DE
32,HOT@DE
33,BOSS@DE
34,IFX@DE
35,LAC
36,LCID
37,LKOD@GS
38,MGNT@GS
39,MRK@DE
40,MTX@DE
41,MUV2@DE
42,KAP@GS
43,NVTK@GS
44,NLMK@GS
45,PBA
46,PHOR@GS
47,PLZL@GS
48,PUBM
49,PUM@DE
50,RHM@DE
51,RKLB
52,RWE@DE
53,SGMO
54,SAP@DE
55,SBER@GS
56,SVST@GS
57,SIE@DE
58,SHL@DE
59,SSA@GS
60,SPB@US
61,TPG
62,TWST
63,VTSC@DE
64,VOW3@DE
65,VNA@DE
66,WTW
67,KSPI@GS
